1 SECOND,Axis 0,Axis 1,Axis 2
0.0,67,756,-2638
0.033,64,602,-2394
0.066,56,541,-2237
0.099,57,442,-1987
0.132,73,397,-1794
0.165,47,327,-1625
0.198,52,314,-1502
0.231,27,285,-1383
0.264,38,263,-1300
0.29700000000000004,29,176,-1174
0.33000000000000007,68,178,-1046
0.3630000000000001,56,161,-986
0.39600000000000013,44,148,-870
0.42900000000000016,31,142,-778
0.4620000000000002,29,94,-710
0.4950000000000002,43,118,-663
0.5280000000000002,27,113,-627
0.5610000000000003,16,47,-592
0.5940000000000003,33,91,-504
0.6270000000000003,8,47,-498
0.6600000000000004,25,48,-443
0.6930000000000004,37,44,-352
0.7260000000000004,22,62,-371
0.7590000000000005,16,62,-328
0.7920000000000005,15,33,-300
0.8250000000000005,11,-3,-278
0.8580000000000005,4,49,-250
0.8910000000000006,15,45,-221
0.9240000000000006,15,36,-184
0.9570000000000006,19,17,-165
0.9900000000000007,8,0,-161
1.0230000000000006,27,16,-119
1.0560000000000005,9,14,-151
1.0890000000000004,-20,3,-124
1.1220000000000003,21,40,-103
1.1550000000000002,18,12,-96
1.1880000000000002,15,24,-56
1.221,13,7,-51
1.254,4,21,-49
1.287,13,7,-15
1.3199999999999998,16,10,-24
1.3529999999999998,18,6,-44
1.3859999999999997,7,-9,-28
1.4189999999999996,28,0,14
1.4519999999999995,33,11,8
1.4849999999999994,15,2,-26
1.5179999999999993,13,4,43
1.5509999999999993,27,19,10
1.5839999999999992,-7,-2,7
1.616999999999999,-13,-21,-9
1.649999999999999,6,-12,40
1.682999999999999,15,12,34
1.7159999999999989,19,-5,58
1.7489999999999988,-11,-7,48
1.7819999999999987,0,-9,19
1.8149999999999986,33,6,44
1.8479999999999985,15,7,22
1.8809999999999985,-17,0,43
1.9139999999999984,8,-17,-1
1.9469999999999983,27,3,59
1.9799999999999982,25,-2,72
2.012999999999998,7,-23,31
2.045999999999998,17,3,51
2.078999999999998,13,8,61
2.111999999999998,14,5,57
2.144999999999998,-5,-31,43
2.1779999999999977,-1,4,70
2.2109999999999976,-1,-11,56
2.2439999999999976,15,1,72
2.2769999999999975,16,0,79
2.3099999999999974,-4,0,42
2.3429999999999973,18,11,28
2.3759999999999972,3,-1,28
2.408999999999997,14,4,66
2.441999999999997,15,26,45
2.474999999999997,-22,-14,41
2.507999999999997,18,-2,31
2.540999999999997,31,5,61
2.5739999999999967,19,8,76
2.6069999999999967,4,-5,90
2.6399999999999966,3,-5,39
2.6729999999999965,2,6,47
2.7059999999999964,16,5,82
2.7389999999999963,-5,0,38
2.7719999999999962,-17,-10,61
2.804999999999996,-6,21,32
2.837999999999996,9,24,60
2.870999999999996,7,-9,44
2.903999999999996,11,0,62
2.936999999999996,20,-23,45
2.9699999999999958,17,-8,40
3.0029999999999957,21,-4,60
3.0359999999999956,12,-2,45
3.0689999999999955,-10,-9,58
3.1019999999999954,9,14,59
3.1349999999999953,106,36,175
3.1679999999999953,17,28,81
3.200999999999995,-36,272,124
3.233999999999995,-20,168,203
3.266999999999995,-174,679,-45
3.299999999999995,-56,670,-402
3.332999999999995,-59,558,-554
3.3659999999999948,-90,-84,-596
3.3989999999999947,-163,-23,-55
3.4319999999999946,-264,153,-338
3.4649999999999945,-291,7,-121
3.4979999999999944,-322,-70,-161
3.5309999999999944,-42,-11,475
3.5639999999999943,-54,23,119
3.596999999999994,0,152,126
3.629999999999994,84,122,145
3.662999999999994,50,163,140
3.695999999999994,-102,65,-76
