1 SECOND,Axis 0,Axis 1,Axis 2
0.0,223,2701,-431
0.033,213,2431,-371
0.066,198,2272,-309
0.099,181,2012,-255
0.132,183,1819,-189
0.165,148,1642,-172
0.198,145,1523,-121
0.231,112,1404,-90
0.264,116,1319,-70
0.29700000000000004,101,1177,-108
0.33000000000000007,130,1053,-59
0.3630000000000001,115,992,-52
0.39600000000000013,95,877,-32
0.42900000000000016,76,787,-13
0.4620000000000002,73,711,-40
0.4950000000000002,81,669,0
0.5280000000000002,63,634,3
0.5610000000000003,54,589,-52
0.5940000000000003,61,509,9
0.6270000000000003,38,497,-32
0.6600000000000004,50,442,-19
0.6930000000000004,56,352,-6
0.7260000000000004,42,374,8
0.7590000000000005,33,332,15
0.7920000000000005,33,300,-8
0.8250000000000005,30,273,-39
0.8580000000000005,17,253,15
0.8910000000000006,26,223,17
0.9240000000000006,24,186,13
0.9570000000000006,28,164,-2
0.9900000000000007,18,159,-19
1.0230000000000006,33,118,3
1.0560000000000005,17,150,-3
1.0890000000000004,-11,124,-13
1.1220000000000003,24,105,29
1.1550000000000002,23,95,2
1.1880000000000002,16,57,18
1.221,15,50,2
1.254,5,50,15
1.287,13,14,6
1.3199999999999998,16,24,8
1.3529999999999998,20,43,2
1.3859999999999997,9,26,-11
1.4189999999999996,26,-15,3
1.4519999999999995,31,-8,14
1.4849999999999994,16,25,0
1.5179999999999993,9,-42,9
1.5509999999999993,24,-9,22
1.5839999999999992,-7,-6,-1
1.616999999999999,-10,7,-22
1.649999999999999,4,-41,-7
1.682999999999999,11,-33,16
1.7159999999999989,15,-59,2
1.7489999999999988,-13,-47,-3
1.7819999999999987,0,-19,-7
1.8149999999999986,29,-44,13
1.8479999999999985,13,-21,10
1.8809999999999985,-19,-41,2
1.9139999999999984,9,-1,-16
1.9469999999999983,23,-59,10
1.9799999999999982,20,-73,6
2.012999999999998,6,-33,-19
2.045999999999998,13,-51,9
2.078999999999998,8,-60,14
2.111999999999998,10,-56,11
2.144999999999998,-5,-45,-27
2.1779999999999977,-5,-69,10
2.2109999999999976,-3,-56,-5
2.2439999999999976,10,-72,8
2.2769999999999975,11,-79,8
2.3099999999999974,-6,-41,3
2.3429999999999973,15,-27,15
2.3759999999999972,1,-28,1
2.408999999999997,9,-65,11
2.441999999999997,10,-42,31
2.474999999999997,-23,-41,-11
2.507999999999997,16,-31,2
2.540999999999997,27,-61,13
2.5739999999999967,14,-75,16
2.6069999999999967,0,-90,3
2.6399999999999966,1,-39,-1
2.6729999999999965,-1,-46,10
2.7059999999999964,10,-81,13
2.7389999999999963,-7,-37,3
2.7719999999999962,-19,-60,-5
2.804999999999996,-9,-29,23
2.837999999999996,3,-57,29
2.870999999999996,5,-44,-4
2.903999999999996,7,-62,6
2.936999999999996,19,-47,-17
2.9699999999999958,15,-41,-2
3.0029999999999957,17,-61,3
3.0359999999999956,9,-45,2
3.0689999999999955,-12,-58,-4
3.1019999999999954,4,-57,19
3.1349999999999953,92,-176,59
3.1679999999999953,9,-79,36
3.200999999999995,-67,-95,277
3.233999999999995,-54,-180,184
3.266999999999995,-253,172,631
3.299999999999995,-153,566,518
3.332999999999995,-186,710,286
3.3659999999999948,-28,484,-366
3.3989999999999947,-122,-22,-121
3.4319999999999946,-346,181,-233
3.4649999999999945,-211,-107,-207
3.4979999999999944,-170,-160,-282
3.5309999999999944,185,-302,318
3.5639999999999943,7,-108,76
3.596999999999994,-61,-49,180
3.629999999999994,11,0,206
3.662999999999994,-37,-19,216
3.695999999999994,-132,-23,-48
3.728999999999994,89,-252,77
3.761999999999994,168,-550,223
3.7949999999999937,52,-779,-302
3.8279999999999936,-370,-35,-413
3.8609999999999935,626,-227,59
3.8939999999999935,110,769,466
3.9269999999999934,332,968,765
3.9599999999999933,156,140,201
3.992999999999993,127,-296,-33
4.025999999999994,91,-131,40
4.058999999999994,227,-64,233
4.091999999999994,125,385,575
4.124999999999995,-255,500,604
4.157999999999995,-615,303,-7
4.190999999999995,-419,-219,-187
4.223999999999996,-152,-783,467
4.256999999999996,-19,-508,-376
4.2899999999999965,47,-509,28
4.322999999999997,398,-357,-31
4.355999999999997,38,-39,93
4.388999999999998,132,-127,237
4.421999999999998,-11,56,47
4.454999999999998,38,-82,255
4.487999999999999,-201,167,-486
4.520999999999999,282,-206,-313
4.553999999999999,242,-805,-193
4.587,-314,-596,35
4.62,513,471,-37
4.6530000000000005,378,1043,1031
4.686000000000001,139,640,-92
4.719000000000001,75,-349,296
4.752000000000002,7,-475,-45
4.785000000000002,34,-455,53
4.818000000000002,60,-142,118
4.851000000000003,89,190,132
4.884000000000003,120,489,519
4.917000000000003,-84,289,451
4.950000000000004,-375,334,108
4.983000000000004,-478,-13,-114
5.0160000000000045,-583,-454,-1
5.049000000000005,-46,-469,-89
5.082000000000005,80,-433,37
5.1150000000000055,-152,39,-76
5.148000000000006,183,-208,245
5.181000000000006,59,-67,272
5.214000000000007,70,-189,75
5.247000000000007,-190,-81,-454
5.280000000000007,106,-253,125
5.313000000000008,-761,26,-142
5.346000000000008,-57,1215,-156
5.379000000000008,260,579,738
5.412000000000009,242,753,281
5.445000000000009,173,-48,129
5.4780000000000095,140,-354,42
5.51100000000001,62,-221,132
5.54400000000001,28,26,111
5.577000000000011,199,412,345
5.610000000000011,-5,163,466
5.643000000000011,-366,302,401
5.676000000000012,-657,53,156
5.709000000000012,-510,-355,-91
