1 SECOND,Axis 0,Axis 1,Axis 2
0.0,2.96,18.24,-26.37
0.033,2.97,17.06,-21.56
0.066,5.47,27.58,-20.57
0.099,7.28,24.09,-29.29
0.132,5.26,18.8,-30.59
0.165,9.07,14.7,-26.27
0.198,7.39,25.59,-24.81
0.231,1.74,31.25,-30.96
0.264,13.73,31.46,-23.21
0.29700000000000004,17.69,32.72,-18.44
0.33000000000000007,13.06,32.8,-17.76
0.39600000000000013,6.67,30.08,-31.69
0.42900000000000016,6.48,29.23,-36.21
0.4620000000000002,6.9,13.91,-20.35
0.4950000000000002,-0.0,-9.35,-15.82
0.5280000000000002,-5.82,-28.94,-23.35
0.5610000000000003,-10.31,-38.39,-37.12
0.5940000000000003,1.42,-100.94,-39.86
0.6270000000000003,-96.58,-211.6,-146.93
0.6600000000000004,-199.29,-123.81,-19.95
0.6930000000000004,-92.73,97.69,-13.59
0.7260000000000004,-119.7,118.01,-36.99
0.7590000000000005,-40.48,255.82,-69.44
0.7920000000000005,113.82,191.26,-62.94
0.8250000000000005,169.05,-4.02,-90.68
0.8580000000000005,28.73,-258.83,43.16
0.8910000000000006,-49.94,-374.78,19.82
0.9240000000000006,-74.08,-406.45,-77.46
0.9570000000000006,-161.4,-365.57,-331.6
0.9900000000000007,52.49,-242.02,-243.53
1.0230000000000006,315.77,-39.04,-151.33
1.0560000000000005,285.89,133.44,-80.53
1.0890000000000004,108.46,226.48,-73.17
1.1220000000000003,-71.35,239.66,-145.22
1.1550000000000002,-265.07,138.27,-70.29
1.1880000000000002,-383.45,50.57,-44.98
1.221,-371.68,-93.5,77.02
1.254,-219.26,-162.4,7.69
1.287,109.39,-210.26,-131.97
1.3199999999999998,142.55,210.17,-187.71
1.3529999999999998,371.99,35.44,-169.21
1.3859999999999997,314.87,-95.01,-105.66
1.4189999999999996,90.03,-12.65,-34.21
1.4519999999999995,-130.14,1.39,-42.2
1.4849999999999994,-219.38,13.48,-13.58
1.5179999999999993,-109.75,71.02,35.38
1.5509999999999993,1.65,226.85,-8.53
1.5839999999999992,97.41,304.25,-57.74
1.616999999999999,181.31,201.87,-72.79
1.649999999999999,108.02,172.79,19.77
1.682999999999999,73.91,125.71,-7.07
1.7159999999999989,32.62,73.11,-48.92
1.7489999999999988,23.58,65.87,-20.93
1.7819999999999987,59.74,39.56,-36.76
1.8149999999999986,92.81,29.98,-53.74
1.8479999999999985,90.09,-53.48,-85.98
1.8809999999999985,18.8,-52.51,-67.13
1.9139999999999984,-67.65,6.41,-54.89
1.9469999999999983,-100.75,2.14,-12.78
2.012999999999998,-80.3,152.39,29.31
2.045999999999998,-1.47,107.36,6.76
2.078999999999998,42.2,81.2,25.41
2.111999999999998,41.86,54.8,13.37
