1 SECOND,Axis 0,Axis 1,Axis 2
0.0,146.0,1004.0,-11.0
0.033,147.0,1002.0,-6.0
0.066,148.0,1013.0,-4.0
0.099,150.0,1010.0,-13.0
0.132,149.0,1005.0,-15.0
0.165,153.0,1001.0,-11.0
0.198,150.0,1011.0,-9.0
0.231,143.0,1017.0,-14.0
0.264,155.0,1018.0,-6.0
0.297,159.0,1019.0,-1.0
0.33,154.0,1019.0,-1.0
0.3960000000000001,148.0,1016.0,-15.0
0.4290000000000001,148.0,1016.0,-20.0
0.4620000000000002,151.0,1000.0,-5.0
0.4950000000000002,147.0,975.0,-3.0
0.5280000000000002,144.0,956.0,-12.0
0.5610000000000003,141.0,947.0,-26.0
0.5940000000000003,162.0,887.0,-34.0
0.6270000000000003,81.0,773.0,-152.0
0.6600000000000004,-34.0,835.0,-20.0
0.6930000000000004,40.0,1068.0,7.0
0.7260000000000004,11.0,1086.0,-16.0
0.7590000000000005,70.0,1236.0,-35.0
0.7920000000000005,232.0,1193.0,-31.0
0.8250000000000005,314.0,1010.0,-73.0
0.8580000000000005,210.0,728.0,36.0
0.8910000000000006,149.0,605.0,2.0
0.9240000000000006,130.0,578.0,-98.0
0.9570000000000006,40.0,628.0,-350.0
0.9900000000000008,234.0,772.0,-248.0
1.0230000000000006,465.0,1001.0,-134.0
1.0560000000000005,411.0,1161.0,-50.0
1.0890000000000004,222.0,1228.0,-38.0
1.1220000000000003,43.0,1222.0,-112.0
1.1550000000000002,-135.0,1088.0,-50.0
1.1880000000000002,-241.0,983.0,-35.0
1.221,-210.0,832.0,75.0
1.254,-48.0,792.0,4.0
1.287,285.0,802.0,-133.0
1.3199999999999998,259.0,1226.0,-153.0
1.3529999999999998,511.0,1084.0,-144.0
1.3859999999999997,472.0,942.0,-93.0
1.4189999999999996,237.0,986.0,-19.0
1.4519999999999995,17.0,970.0,-31.0
1.4849999999999994,-73.0,967.0,-3.0
1.5179999999999991,27.0,1035.0,53.0
1.5509999999999993,116.0,1208.0,24.0
1.5839999999999992,200.0,1302.0,-17.0
1.616999999999999,298.0,1214.0,-38.0
1.649999999999999,228.0,1167.0,50.0
1.682999999999999,201.0,1118.0,19.0
1.7159999999999989,168.0,1064.0,-28.0
1.7489999999999988,160.0,1053.0,-1.0
1.7819999999999987,200.0,1034.0,-18.0
1.8149999999999984,234.0,1030.0,-35.0
1.8479999999999983,243.0,950.0,-74.0
1.8809999999999985,172.0,940.0,-57.0
1.9139999999999984,78.0,985.0,-42.0
1.9469999999999985,46.0,972.0,-1.0
2.012999999999998,45.0,1120.0,54.0
2.045999999999998,129.0,1088.0,29.0
2.078999999999998,176.0,1067.0,47.0
2.111999999999998,179.0,1042.0,33.0
2.144999999999998,193.0,1026.0,49.0
2.1779999999999977,225.0,1010.0,56.0
2.2109999999999976,233.0,969.0,5.0
2.2439999999999976,298.0,882.0,-171.0
2.276999999999997,325.0,980.0,-220.0
2.3099999999999974,300.0,983.0,-109.0
2.3429999999999973,265.0,1031.0,-149.0
2.375999999999997,223.0,1032.0,-83.0
2.408999999999997,213.0,983.0,16.0
2.441999999999997,190.0,973.0,-61.0
2.474999999999997,140.0,1011.0,-32.0
2.507999999999997,126.0,1001.0,-58.0
2.540999999999997,123.0,994.0,-56.0
2.5739999999999967,149.0,934.0,-20.0
2.6069999999999967,144.0,961.0,-10.0
2.639999999999997,150.0,955.0,-26.0
2.6729999999999965,141.0,1006.0,-33.0
2.7059999999999964,129.0,1043.0,-17.0
2.7389999999999963,129.0,1045.0,-43.0
2.771999999999996,145.0,1034.0,-71.0
2.804999999999996,157.0,1020.0,-84.0
2.837999999999996,181.0,1023.0,-77.0
2.870999999999996,217.0,1010.0,-84.0
2.903999999999996,227.0,1032.0,-69.0
2.936999999999996,187.0,1035.0,-98.0
2.969999999999996,171.0,1042.0,-102.0
3.002999999999996,174.0,1026.0,-104.0
3.035999999999996,180.0,986.0,-125.0
3.0689999999999955,164.0,982.0,-133.0
3.1019999999999954,141.0,979.0,-136.0
3.134999999999996,132.0,1004.0,-171.0
3.1679999999999957,99.0,1000.0,-217.0
3.200999999999995,94.0,1003.0,-204.0
3.233999999999995,125.0,996.0,-172.0
