8 Acc LUA^ accX,9 Acc LUA^ accY,10 Acc LUA^ accZ
95.0,975.0,152.0
124.0,968.0,123.0
127.0,1001.0,113.0
110.0,1007.0,106.0
98.0,1001.0,92.0
72.0,994.0,136.0
41.0,994.0,123.0
55.0,975.0,123.0
65.0,1009.0,123.0
62.0,1092.0,87.0
136.0,1059.0,64.0
103.0,1061.0,60.0
50.0,1063.0,61.0
19.0,1035.0,81.0
32.0,1007.0,90.0
56.0,1025.0,70.0
49.0,999.0,72.0
55.0,986.0,102.0
31.0,990.0,83.0
35.0,1009.0,55.0
51.0,981.0,68.0
13.0,993.0,73.0
10.0,997.0,96.0
20.0,983.0,96.0
22.0,987.0,103.0
-5.0,986.0,116.0
19.0,985.0,118.0
64.0,1019.0,66.0
85.0,1053.0,50.0
57.0,1063.0,71.0
7.0,1062.0,72.0
-30.0,1041.0,105.0
0.0,1017.0,79.0
25.0,967.0,43.0
-47.0,982.0,65.0
-88.0,1019.0,83.0
-72.0,1004.0,131.0
-74.0,1079.0,175.0
-22.0,1071.0,208.0
4.0,988.0,243.0
-52.0,940.0,181.0
-61.0,967.0,161.0
3.0,987.0,153.0
-5.0,995.0,188.0
-20.0,980.0,193.0
10.0,959.0,204.0
-1.0,938.0,184.0
-10.0,931.0,219.0
-27.0,953.0,249.0
-74.0,973.0,280.0
-71.0,1025.0,290.0
-68.0,1055.0,328.0
-56.0,1055.0,312.0
-43.0,1035.0,322.0
-127.0,1006.0,359.0
-109.0,1004.0,332.0
-100.0,1018.0,285.0
-139.0,1044.0,265.0
-61.0,1060.0,228.0
-91.0,1032.0,198.0
-77.0,1090.0,245.0
-57.0,1073.0,245.0
-119.0,1125.0,441.0
-286.0,992.0,459.0
-249.0,915.0,590.0
-297.0,888.0,513.0
-197.0,1005.0,533.0
-24.0,1002.0,596.0
145.0,881.0,641.0
271.0,777.0,697.0
143.0,693.0,730.0
59.0,694.0,759.0
-73.0,710.0,614.0
-353.0,628.0,621.0
-495.0,585.0,542.0
-627.0,540.0,421.0
-699.0,442.0,361.0
-799.0,361.0,387.0
-828.0,337.0,527.0
-861.0,396.0,482.0
-900.0,348.0,555.0
-909.0,360.0,527.0
-905.0,344.0,623.0
-869.0,393.0,580.0
-813.0,382.0,534.0
-769.0,402.0,567.0
-732.0,398.0,557.0
-726.0,386.0,547.0
-770.0,381.0,511.0
-822.0,344.0,534.0
-908.0,331.0,500.0
-978.0,261.0,519.0
-1114.0,299.0,452.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-392.0,404.0,873.0
-444.0,379.0,870.0
-392.0,368.0,909.0
-387.0,380.0,922.0
-377.0,407.0,937.0
-385.0,332.0,868.0
-404.0,298.0,849.0
-412.0,289.0,766.0
-452.0,247.0,798.0
-431.0,241.0,778.0
-485.0,243.0,720.0
-428.0,313.0,804.0
-602.0,267.0,741.0
-495.0,281.0,790.0
-320.0,281.0,911.0
-361.0,381.0,1013.0
-441.0,392.0,1068.0
-416.0,502.0,1020.0
-482.0,527.0,933.0
-600.0,456.0,716.0
-610.0,522.0,590.0
-572.0,552.0,558.0
-710.0,472.0,466.0
-691.0,480.0,438.0
-722.0,443.0,456.0
-718.0,457.0,524.0
-721.0,520.0,592.0
-751.0,503.0,762.0
-769.0,501.0,711.0
-751.0,439.0,757.0
-748.0,437.0,680.0
-768.0,502.0,470.0
-869.0,439.0,323.0
-902.0,343.0,344.0
-923.0,362.0,408.0
-840.0,385.0,526.0
-722.0,492.0,590.0
-639.0,535.0,610.0
-617.0,510.0,545.0
-684.0,483.0,493.0
-731.0,383.0,436.0
-869.0,407.0,359.0
-902.0,396.0,348.0
-951.0,502.0,286.0
-932.0,529.0,254.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-509.0,297.0,816.0
-514.0,296.0,834.0
-517.0,310.0,848.0
-517.0,309.0,833.0
-485.0,292.0,815.0
-441.0,284.0,829.0
-331.0,330.0,854.0
-402.0,366.0,821.0
-414.0,357.0,846.0
-381.0,398.0,866.0
-380.0,370.0,875.0
-409.0,382.0,850.0
-390.0,422.0,774.0
-469.0,472.0,748.0
-557.0,478.0,679.0
-555.0,488.0,687.0
-611.0,548.0,677.0
-648.0,584.0,657.0
-686.0,601.0,610.0
-739.0,616.0,518.0
-742.0,572.0,455.0
-716.0,583.0,521.0
-722.0,590.0,466.0
-727.0,567.0,450.0
-634.0,572.0,437.0
-688.0,569.0,493.0
-639.0,552.0,579.0
-555.0,525.0,641.0
-682.0,601.0,589.0
-771.0,582.0,475.0
-763.0,538.0,436.0
-815.0,502.0,441.0
-836.0,508.0,465.0
-812.0,484.0,469.0
-749.0,564.0,517.0
-741.0,583.0,496.0
-735.0,588.0,434.0
-689.0,610.0,449.0
-728.0,613.0,433.0
-779.0,544.0,415.0
-802.0,598.0,490.0
-763.0,609.0,579.0
-761.0,635.0,520.0
-702.0,616.0,518.0
-673.0,619.0,474.0
-671.0,638.0,431.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-431.0,376.0,824.0
-433.0,358.0,872.0
-453.0,355.0,857.0
-434.0,358.0,845.0
-460.0,340.0,823.0
-454.0,356.0,831.0
-439.0,361.0,836.0
-406.0,368.0,833.0
-355.0,387.0,881.0
-360.0,417.0,906.0
-389.0,407.0,864.0
-337.0,403.0,845.0
-281.0,429.0,876.0
-156.0,519.0,926.0
-209.0,580.0,861.0
-364.0,485.0,780.0
-427.0,587.0,717.0
-566.0,517.0,631.0
-574.0,503.0,595.0
-686.0,538.0,555.0
-770.0,476.0,536.0
-747.0,438.0,631.0
-774.0,511.0,547.0
-796.0,577.0,446.0
-784.0,555.0,391.0
-733.0,504.0,387.0
-732.0,504.0,376.0
-734.0,554.0,408.0
-734.0,527.0,550.0
-694.0,493.0,658.0
-734.0,549.0,668.0
-760.0,575.0,562.0
-801.0,603.0,462.0
-813.0,550.0,392.0
-837.0,556.0,372.0
-820.0,528.0,402.0
-781.0,504.0,455.0
-709.0,559.0,460.0
-677.0,608.0,509.0
-643.0,569.0,529.0
-650.0,548.0,496.0
-730.0,570.0,389.0
-763.0,532.0,366.0
-831.0,528.0,395.0
-842.0,537.0,452.0
-829.0,615.0,376.0
-886.0,566.0,398.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-481.0,343.0,747.0
-454.0,335.0,854.0
-485.0,330.0,848.0
-518.0,334.0,801.0
-491.0,323.0,820.0
-447.0,324.0,832.0
-456.0,313.0,870.0
-456.0,350.0,896.0
-445.0,361.0,886.0
-378.0,350.0,868.0
-395.0,366.0,828.0
-434.0,346.0,850.0
-393.0,343.0,827.0
-376.0,413.0,855.0
-401.0,361.0,834.0
-407.0,359.0,853.0
-375.0,459.0,805.0
-345.0,436.0,858.0
-400.0,422.0,765.0
-406.0,526.0,789.0
-509.0,531.0,786.0
-523.0,533.0,706.0
-613.0,555.0,659.0
-653.0,571.0,562.0
-806.0,484.0,572.0
-649.0,539.0,595.0
-758.0,527.0,498.0
-671.0,496.0,511.0
-559.0,554.0,483.0
-700.0,520.0,449.0
-784.0,483.0,496.0
-847.0,456.0,543.0
-836.0,486.0,575.0
-857.0,467.0,559.0
-856.0,465.0,542.0
-726.0,583.0,574.0
-682.0,569.0,587.0
-767.0,481.0,563.0
-681.0,546.0,531.0
-675.0,533.0,539.0
-656.0,521.0,509.0
-655.0,517.0,520.0
-649.0,555.0,505.0
-699.0,481.0,498.0
-770.0,479.0,430.0
-849.0,470.0,394.0
-888.0,508.0,406.0
-951.0,573.0,334.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-488.0,387.0,811.0
-508.0,399.0,852.0
-559.0,373.0,788.0
-498.0,369.0,802.0
-466.0,399.0,814.0
-485.0,399.0,817.0
-432.0,424.0,854.0
-401.0,440.0,802.0
-408.0,405.0,818.0
-327.0,460.0,796.0
-404.0,480.0,714.0
-385.0,489.0,687.0
-415.0,553.0,662.0
-450.0,578.0,592.0
-471.0,613.0,570.0
-508.0,661.0,476.0
-549.0,735.0,410.0
-663.0,724.0,465.0
-676.0,715.0,554.0
-720.0,674.0,569.0
-722.0,643.0,683.0
-698.0,570.0,591.0
-814.0,741.0,459.0
-665.0,703.0,540.0
-171.0,808.0,264.0
78.0,1000.0,119.0
303.0,1013.0,305.0
210.0,1049.0,322.0
2.0,1152.0,339.0
-252.0,998.0,379.0
-426.0,1014.0,365.0
-185.0,980.0,400.0
9.0,983.0,387.0
-174.0,1053.0,259.0
60.0,1043.0,277.0
156.0,1045.0,278.0
17.0,1006.0,204.0
-47.0,1006.0,192.0
-8.0,996.0,158.0
-20.0,1009.0,156.0
24.0,1015.0,129.0
15.0,1014.0,160.0
-14.0,998.0,194.0
-29.0,977.0,162.0
-36.0,966.0,172.0
-59.0,998.0,194.0
-72.0,999.0,180.0
-42.0,1002.0,166.0
-67.0,1005.0,167.0
-42.0,1015.0,170.0
-37.0,999.0,173.0
-38.0,997.0,192.0
-48.0,997.0,193.0
-49.0,1006.0,183.0
-53.0,994.0,171.0
-16.0,990.0,164.0
-50.0,1006.0,158.0
-46.0,992.0,140.0
-29.0,1003.0,162.0
-22.0,996.0,153.0
-31.0,988.0,144.0
-27.0,1004.0,166.0
-34.0,1004.0,171.0
-54.0,1007.0,150.0
-32.0,998.0,171.0
-20.0,996.0,156.0
-27.0,1004.0,170.0
-29.0,1007.0,174.0
-29.0,987.0,153.0
-37.0,1017.0,143.0
-6.0,1002.0,153.0
-6.0,999.0,141.0
-17.0,1005.0,160.0
-30.0,1005.0,155.0
-41.0,987.0,162.0
-15.0,1000.0,148.0
-17.0,1010.0,161.0
-11.0,987.0,159.0
-32.0,990.0,174.0
-47.0,1017.0,163.0
-41.0,1014.0,166.0
-37.0,994.0,150.0
-31.0,1015.0,148.0
-11.0,989.0,173.0
-19.0,987.0,153.0
-27.0,997.0,163.0
-10.0,1008.0,161.0
-7.0,1014.0,136.0
-4.0,989.0,140.0
-19.0,993.0,165.0
-10.0,987.0,165.0
-23.0,985.0,154.0
-12.0,989.0,165.0
-10.0,982.0,137.0
-12.0,1008.0,163.0
-36.0,996.0,149.0
-19.0,1004.0,161.0
9.0,1005.0,120.0
1.0,1015.0,137.0
0.0,1024.0,115.0
0.0,1035.0,122.0
13.0,1026.0,131.0
35.0,1032.0,132.0
10.0,1017.0,104.0
20.0,1019.0,81.0
24.0,996.0,98.0
36.0,1021.0,97.0
37.0,1008.0,74.0
68.0,1005.0,97.0
57.0,1005.0,87.0
34.0,1005.0,94.0
28.0,1011.0,96.0
40.0,1017.0,99.0
75.0,1007.0,94.0
43.0,1006.0,109.0
46.0,1006.0,103.0
57.0,1016.0,92.0
68.0,1016.0,113.0
88.0,1002.0,108.0
95.0,988.0,95.0
82.0,993.0,112.0
76.0,975.0,118.0
81.0,993.0,129.0
126.0,1001.0,101.0
118.0,1026.0,81.0
138.0,1006.0,73.0
134.0,996.0,91.0
92.0,988.0,81.0
57.0,987.0,58.0
59.0,978.0,74.0
78.0,995.0,25.0
57.0,1005.0,20.0
86.0,1025.0,10.0
105.0,997.0,41.0
116.0,1016.0,5.0
135.0,1005.0,17.0
128.0,1032.0,10.0
110.0,1026.0,12.0
105.0,1014.0,23.0
125.0,993.0,19.0
130.0,996.0,20.0
116.0,1004.0,27.0
87.0,1016.0,26.0
102.0,998.0,5.0
